ClaGenus,ClaSpecies,AutAuthorString,SummaryData
Polytherses,cylindrica,"Duchassaing & Michelotti, 1864","Michelotti, G."
Ectyon,cylindricus,"Carter, 1883","Carter, H. J."
Ophiraphidites,cylindricus,,
Hydriodictya,cylix,Hall & Clarke,
Halichondria,D1,,
Halichondria,D2,,
Receptaculites,dactioloides,,
Axinella,damicornis,"(Esper, 1794)",
Saccospongia,daniellensis,,
Saccospongia,danvillensis,Ulrich,"Ulrich, E. O."
Pasceolus,darwini,,
Pasceolus,darwini,,
Physospongia,dawsoni,(Whitfield),
Coeloptychium,deciminum,"Roemer, 1841","Roemer, F. A."
Siphonia,decipiens,,
Lefroyella,decora,Thompson,"Thompson, C. W."
Microblastidium,decurrens,"Schrammen, 1902","Schrammen, A."
Isodictya,deichmannae,"(de Laubenfels, 1949)",
Hazelia,delicatula,Walcott,"Walcott, C. D."
Protospongia,delicatula,,
Cliona,delitrix,"Pang, 1973","Pang, R. K."
Ancorina,demera,"(de Laubenfels, 1934)",
Ecionemia,demera,"(de Laubenfels, 1934)",
Hezekia,demera,"de Laubenfels, 1934","de Laubenfels, M. W."
Ridleia,dendiia,"de Laubenfels, 1934",
Echinodictyum,dendroides,"Hechtel, 1983","Hechtel, G. J."
Lendenfeldia,dendyi,"(von Lendenfeld, 1889)",
Phyllospongia,dendyi,von Ledendenfeld,"von Ledendenfeld, R."
Ridleia,dendyi,"de Laubenfels, 1934",
Strongylophora,dendyi,"Hechtel, 1969","Hechtel, G. J."
Aulocopium,diademata,,
Monanchora,dianchora,"de Laubenfels, 1935","de Laubenfels, M. W."
Neofolitispa,dianchora,"(de Laubenfels, 1935)",
Doryderma,dichotoma,,
Eudea,dichotoma,"Gabb, 1861","Gabb, W. M."
Doryderma,dichotomum,Bennett,
Lepidolites,dickhanti,,
Ircinia,dickinsoni,"(de Laubenfels, 1936)",
Pattersonia,difficilis,Miller,
Callyspongia,diffusa,"(Ridley, 1884)",
Cladochalina,diffusa,"Ridley, 1884","Ridley, S. O."
Gelliodes,digitalis,(Lamarck),
Niphates,digitalis,"(Lamarck, 1814)",
Spongia,digitalis,"Lamarck, 1814","Lamarck, J. P."
Tuba,digitalis,"(Lamarck, 1814)",
Brachiospongia,digitata,(Owen),
Reniera,digitata,"Schmidt, 1862","Schmidt, E. O."
Jaspis,digonoxea,"(de Laubenfels, 1950)",
Zaplethea,digonoxea,"de Laubenfels, 1950","de Laubenfels, M. W."
Agelas,dilatata,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Agelas,dilatata,"Duchassaing & Michelotti, 1864","Michelotti, G."
Pachastrella,dilifera,"de Laubenfels, 1934","de Laubenfels, M. W."
Cliona,dioryssa,"(de Laubenfels, 1950)",
Spirastrella,dioryssa,"de Laubenfels, 1950","de Laubenfels, M. W."
Tethya,diploderma,"Schmidt, 1870","Schmidt, E. O."
Haliclona,diproposia,de Laubenfels,"de Laubenfels, M. W."
Haliclona,diprosopia,"de Laubenfels, 1930","de Laubenfels, M. W."
Xestospongia,diprosopia,"(de Laubenfels, 1930)",
Spongia,discus,,
Spongia,discus,,
Spongia,discus,"Hyatt, 1877","Hyatt, A."
Agelas,dispar,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Agelas,dispar,"Duchassaing & Michelotti, 1864","Michelotti, G."
Topsentia,disparilis,"(Lambe, 1893)",
Adrianella,distefanoi,"Parona, 1933","Parona, C. F."
Capromanon,distortum,Rauff,"Rauff, H."
Suberites,distortus,Schmidt,Schmidt
Suberites,domuncula,"(Olivi, 1792)",
Barroisia,dorbignyi,"(Hinde, 1882)",
Haliclona,doria,"de Laubenfels, 1936","de Laubenfels, M. W."
Rhabdocalyptus,dowlingi,"Lambe, 1893","Lambe, L. M."
Staurocalyptus,dowlingi,"(Lambe, 1893)",
Adocia,dubia,"Ristau, 1978","Ristau, D. A."
Colospongia,dubia,,
Dysidea,dubia,"(Hyatt, 1877)",
Dysidea,dubia,"(Hyatt, 1877)",
Oligoceras,dubia,(Hyatt),
Oligoceras,dubia,(Hyatt),
Spongelia,dubia,"Hyatt, 1877","Hyatt, A."
Spongelia,dubia,,
Spongelia,dubia,"Hyatt, 1877","Hyatt, A."
Xestospongia,dubia,"(Ristau, 1978)",
Halisarca,dujardini,"Johnston, 1842",
Stylopegma,dulce,King,"King, P. P."
Peronidella,dumosa,,
Girtycoelia,dunbari,"King, 1943","King, R. E."
Girtyocoelia,dunbari,King,"King, P. P."
Petrosia,dura,(Wilson),
Spongia,dura,"Hyatt, 1877","Hyatt, A."
Spongia,dura,Hyatt,"Hyatt, A."
Pseudoceratina,durissima,"Carter, 1885","Carter, H. J."
Sigmaxinella,durissima,"(Dendy, 1905)",
Sigmaxinella,durissima,"Dendy, 1922","Dendy, A."
Polyfibrospongia,dysodes,"de Laubenfels, 1954","de Laubenfels, M. W."
Smenospongia,dysodes,"(de Laubenfels, 1954)",
Eumastia,E1,,
Chalinula,ecbasis,"(de Laubenfels, 1930)",
Haliclona,ecbasis,"de Laubenfels, 1930","de Laubenfels, M. W."
Acloeodictya,eccentrica,,
Polyfibrospongia,echina,"de Laubenfels, 1934","de Laubenfels, M. W."
Smenospongia,echina,"(de Laubenfels, 1934)",
Dorvillia,echinata,"Verrill, 1874","Verrill, A. E."
Terpios,echinata,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Terpios,echinata,"Duchassaing & Michelotti, 1864","Michelotti, G."
Thenea,echinata,"(Verrill, 1874)",
Laxosuberites,ectyoninus,"Topsent, 1900",
Laxsuberites,ectyoninus,,
Protosuberites,ectyoninus,"(Topsent, 1900)",
Sigmadocia,edapha,"(de Laubenfels, 1930)",
Xestospongia,edapha,"(de Laubenfels, 1930)",
Gellius,edaphus,"de Laubenfels, 1930","de Laubenfels, M. W."
Amphimedon,elastica,"(Verrill, 1907)",
Pachychalina,elastica,"Verrill, 1907","Verrill, A. E."
Leucosolenia,eleanor,"Urban, 1906",
Dactylospongia,elegans,"(Thiele, 1899)",
Luffariella,elegans,"Thiele, 1899","Thiele, J."
Receptaculites,elegantulus,"Billings, 1865","Billings, E."
Halichondrites,elissa,Walcott,"Walcott, C. D."
Melonanchora,elliptica,"Carter, 1874","Carter, H. J."
Scyphia,empleura,,
Characella,enae,"(de Laubenfels, 1934)",
Neothenea,enae,"de Laubenfels, 1934",
Haliclona,enamela,"de Laubenfels, 1930","de Laubenfels, M. W."
Prosuberites,epiphytum,"(Lamarck, 1815)",
Protosuberites,epiphytum,"(Lamarck, 1815)",
Spongia,equina,"Schmidt, 1862","Schmidt, E. O."
Spongia,equina,"Hyatt, 1877","Hyatt, A."
Spongia,equina,"Hyatt, 1877","Hyatt, A."
Spongia,equina,"Hyatt, 1877","Hyatt, A."
Spongia,equina,"(Duchassaing & Michelotti, 1864)",
Heteronema,erecta,"Keller, 1889",
Niphates,erecta,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Niphates,erecta,"Duchassaing & Michelotti, 1864","Michelotti, G."
Hyrtios,erectus,"(Keller, 1889)",
Amphimedon,erina,"(de Laubenfels, 1936)",
Haliclona,erina,"de Laubenfels, 1936","de Laubenfels, M. W."
Acarnus,erithacus,"de Laubenfels, 1927","de Laubenfels, M. W."
Chancelloria,eros,Walcott,"Walcott, C. D."
Callyspongia,eschrichtii,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Callyspongia,eschrichtii,"Duchassaing & Michelotti, 1864","Michelotti, G."
Dysidea,etheria,"de Laubenfels, 1936","de Laubenfels, M. W."
Heteronema,eubamma,"de Laubenfels, 1954","de Laubenfels, M. W."
Clathria,eurypa,"(de Laubenfels, 1954)",
Dictyociona,eurypa,"de Laubenfels, 1954","de Laubenfels, M. W."
Microciona,eurypa,"(de Laubenfels, 1954)",
Hydnoceras,eutheles,,
Astylospongia,excavata,,
Neopetrosia,exigua,"(Kirkpartrick, 1900)",
Xestospongia,exigua,"(Kirkpartrick, 1900)",
Ectenodictya,expansa,Hall,
Seliscothon,explanatum,Goldfuss,"Goldfuss, G. A."
Halichondria,F1,,
Halichondria,F2,,
Halichondria,F3,,
Chirospongia,faberi,,
Farrea,facunda,,
Callyspongia,fallax,"Duchassaing & Michelotti, 1864",
Callyspongia,fallax,"Duchassaing & Michelotti, 1864",
Halichondria,farricea,,
Halichondria,farricea,,
Rhaphidonema,farringdonense,(Jencks),
Pharetrospongia,farringtonensis,,
Raphidonema,farringtonensis,,
Clathria,fasciculata,"Wilson, 1925","Wilson, H. V."
Hircinia,fasciculata,"(Pallas, 1766)",
Ircinia,fasciculata,"(Pallas, 1766)",
Sarcotragus,fasciculatus,"(Pallas, 1766)",
Haliclona,fascigera,"(Hentschel, 1912)",
Siphonochalina,fascigera,"Hentschel, 1912","Hentschel, E."
Ircinia,felix,"(Duchassaing & Michelotti, 1864)",
Polytherses,felix,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Polytherses,felix,"Duchassaing & Michelotti, 1864","Michelotti, G."
Aplysina,fenestrata,"(Duchassaing & Michelotti, 1864)",
Clathrospongia,fenestrata,,
Spongia,fenestrata,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,fenestrata,"Duchassaing & Michelotti, 1864","Michelotti, G."
Thenea,fenestrata,,
Amphimedon,ferox,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Amphimedon,ferox,"Duchassaing & Michelotti, 1864","Michelotti, G."
Ectyoplasia,ferox,"(Duchassaing & Michelotti, 1864)",
Hemectyon,ferox,"(Duchassaing & Michelotti, 1864)",
Esperella,fibrexilis,"Wilson, 1894","Wilson, H. V."
Mycale,fibrexilis,"(Wilson, 1894)",
Callyspongia,fibrosa,"(Ridley & Dendy, 1886)",
Dasychalina,fibrosa,"Ridley & Dendy, 1886","Ridley, S. O."
Dasychalina,fibrosa,"Ridley & Dendy, 1886","Dendy, A."
Hindia,fibrosa,(Roemer),
Pachychalina,fibrosa,"(Ridley & Dendy, 1886)",
Pilochrota,fibrosa,"(Schmidt, 1870)",
Pilochrota,fibrosa,"Wilson, 1902","Wilson, H. V."
Rhabdastrella,fibrosa,"Hechtel, 1983","Hechtel, G. J."
Topsentia,fibrosa,"(Fristedt, 1887)",
Petrosia,ficiformis,"(Poiret, 1789)",
Choanites,ficus,"(Johnston, 1842)",
Hymeniacidon,ficus,"(Linnaeus, 1766)",
Siphonia,ficus,,
Suberites,ficus,"(Johnston, 1842)",
Tremabolites,filtoni,,
Isodictya,fimbriata,"Bowerbank, 1866","Bowerbank, J. S."
Myxilla,fimbriata,"(Bowerbank, 1866)",
Aplysina,fistularis,"(Pallas, 1766)",
Spongia,fistularis,"Pallas, 1766","Pallas, P. S."
Verongia,fistularis,"(Pallas, 1766)",
Desmacidon,fistulosa,"Bowerbank, 1873","Bowerbank, J. S."
Haliclona,fistulosa,"(Bowerbank, 1866)",
Oceanapia,fistulosa,"(Bowerbank, 1873)",
Rhizochalina,fistulosa,"(Bowerbank, 1873)",
Craticularia,fittoni,Mantell,
Ianthella,flabelliformis,"(Linnaeus, 1766)",
Gellius,flagellifer,"Ridley & Dendy, 1886","Ridley, S. O."
Gellius,flagellifer,"Ridley & Dendy, 1886","Dendy, A."
Gelliodes,flagellifera,"(Ridley & Dendy, 1886)",
Haliclona,flagellifera,"(Ridley & Dendy, 1886)",
Aplysina,flagelliformis,,
Aplysina,flagelliformis,"Wilson, 1902",
Tuponia,flexilis,Walcott,"Walcott, C. D."
Leucetta,floridana,"(Haeckel, 1872)",
Cladorhiza,flosabyssi,"Topsent, 1909","Topsent, E."
Ephydatia,fluviatilis,"(Linnaeus, 1758)",
Meyenia,fluviatilis,"(Linnaeus, 1759)",
Halichondria,foetida,"(Wilson, 1894)",
Tedanione,foetida,"Wilson, 1894","Wilson, H. V."
Carteriospongia,foliascens,"(Pallas, 1766)",
Phyllospongia,foliascens,"(Pallas, 1766)",
Phyllospongia,foliascens,"(Hyatt, 1877)",
Asconema,foliatum,"(Fristedt, 1887)",
Phakellia,folium,"Schmidt, 1870",Schmidt
Forcepia,forcipis,"(Bowerbank, 1866)",
Erylus,formosus,"Sollas, 1886","Sollas, W. J."
Receptaculites,formosus,,
Biemna,fortis,"(Topsent, 1897)",
Perissinella,fosteri,"Hechtel, 1983","Hechtel, G. J."
Ptilocaulis,fosteri,"(Hechtel, 1983)",
Fasciospongia,fovea,,
Plectodermatium,fragile,Schrammen,"Schrammen, A."
Dysidea,fragilis,"(Montagu, 1814)",
Esperiopsis,fragilis,"Verrill, 1907","Verrill, A. E."
Pachychalina,fragilis,Verrill,"Verrill, A. E."
Spongilla,fragilis,"Leidy, 1851","Leidy, J."
Spongilla,friabilis,Carter,
Clathria,frondifera,"(Bowerbank, 1875)",
Desmacidon,fruticosum,"(Montagu, 1814)",
Amphilectus,fucorum,"(Esper, 1794)",
Isodictya,fucorum,"(Esper, 1794)",
Terpios,fugax,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Terpios,fugax,"Duchassaing & Michelotti, 1864","Michelotti, G."
Aplysina,fulva,"(Pallas, 1766)",
Verongia,fulva,"(Pallas, 1766)",
Camerospongia,fungiformis,Goldfuss,"Goldfuss, G. A."
Hippalimus,fungoides,,
Receptaculites,fungosus,Hall,
Thrinacophora,funiformis,"Ridley & Dendy, 1886","Ridley, S. O."
Thrinacophora,funiformis,"Ridley & Dendy, 1886","Dendy, A."
Barroisia,furcata,,
Halichondria,G1,,
Halichondrina,G1,,
Halichondria,G2,,
Lysactinella,gebhardi,Girty,"Girty, G. H."
Adocia,gellindra,"de Laubenfels, 1932","de Laubenfels, M. W."
Halichoclona,gellindra,"de Laubenfels, 1932","de Laubenfels, M. W."
Haliclona,gellindra,"(de Laubenfels, 1932)",
Halichondria,genitrix,"(Schmidt, 1870)",
Geodia,gibberosa,"Lamarck, 1815","Lamarck, J. P."
Ciocalapata,gibbsi,"Wells, Wells & Gray, 1960",
Ciocalypta,gibbsi,"(Wells, Wells & Gray, 1960)",
Aplysina,gigantea,"Hyatt, 1875","Hyatt, A."
Verongia,gigantea,,
Verongula,gigantea,"(Hyatt, 1875)",
Pachycothon,giganteum,,
Echinochalina,glabra,"(Ridley & Dendy, 1886)",
Echinoclathria,glabra,"Ridley & Dendy, 1886","Ridley, S. O."
Echinoclathria,glabra,"Ridley & Dendy, 1886","Dendy, A."
Aplysilla,glacialis,"(Merejkowski, 1878)",
Carpospongia,globosa,,
Caryospongia,globosa,(von Eichwald),
Eiffelia,globosa,Walcott,"Walcott, C. D."
Pasceolus,globosus,,
Stelletta,globulariformis,"(Wilson, 1902)",
Porosphaera,globularis,,
Receptaculites,globularis,,
Coscinopora,globulus,,
Scyphia,glomerata,,
Stellispongia,glomerata,,
Gelliodes,gorgoniphila,Verrill,"Verrill, A. E."
Hippospongia,gossypina,"(Duchassaing & Michelotti, 1864)",
Spongia,gossypina,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,gossypina,"Duchassaing & Michelotti, 1864","Michelotti, G."
Vauxia,gracilenta,Walcott,"Walcott, C. D."
Chalina,gracilis,,
Eudea,gracilis,"(Münster, 1841)",
Gelliodes,gracilis,"Hentschel, 1912","Hentschel, E."
Haliclona,gracilis,"(Miklucho-Maclay, 1870)",
Ptilocaulis,gracilis,"Carter, 1883","Carter, H. J."
Biemna,graminea,Burton,"Burton, M."
Spongia,graminea,"Hyatt, 1877","Hyatt, A."
Spongia,graminea,"de Laubenfels & Storr, 1958","de Laubenfels, M. W."
Spongia,graminea,"de Laubenfels & Storr, 1958","Storr, J. F."
Cladorhiza,grandis,"Verrill, 1879","Verrill, A. E."
Gelliodes,grandis,Verrill,"Verrill, A. E."
Phakellia,grandis,Verrill,"Verrill, A. E."
Wapkia,grandis,Walcott,"Walcott, C. D."
Aulocopina,granti,,
Timea,granulata,"Bergquist, 1965","Bergquist, P. R."
Myrmekioderma,granulatum,"(Esper, 1794)",
Polymastia,granulosa,"Bröndsted, 1924","Bröndsted, H. V."
Cnemidium,granulosum,,
Eurypon,graphidiophora,"(Hentschel, 1911)",
Hymeraphia,graphidiophora,"Hentschel, 1911","Hentschel, E."
Craniella,gravata,"(Hyatt, 1878)",
Tetilla,gravata,"(Hyatt, 1877)",
Craniella,gravida,(Hyatt),
Tethya,gravida,"Hyatt, 1877","Hyatt, A."
Tetilla,gravida,,
Prianos,grayi,"Hechtel, 1983","Hechtel, G. J."
Xestospongia,grayi,"(Hechtel, 1983)",
Hindia,gregaria,,
Microspongia,gregaria,,
Raphyrus,griffithsii,Bowerbank,"Bowerbank, J. S."
Strongylacidon,griseum,"(Schmidt, 1870)",
Xytopsues,griseus,"(Schmidt, 1870)",
Biemna,groenlandica,"(Fristedt, 1887)",
Stelletta,grubii,"Schmidt, 1862","Schmidt, E. O."
Chalina,guadalupensis,"(Duchassaing & Michelotti, 1864)",
Spongia,guadelupensis,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,guadelupensis,"Duchassaing & Michelotti, 1864","Michelotti, G."
Ciocalapata,H1,,
Ciocalapata,H2,,
Petrosia,halichondrioides,"Wilson, 1902","Wilson, H. V."
Plakortis,halichondrioides,"(Wilson, 1902)",
Xestospongia,halichondroides,Wilson,"Wilson, A."
Cyclocrinites,halli,,
Pasceolus,halli,,
Astraeospongia,hamiltonensis,"Meek & Worthen, 1866","Meek, F. B."
Astraeospongia,hamiltonensis,"Meek & Worthen, 1866","Worthen, A. H."
Axocielita,hartmani,"Simpson, 1966","Simpson, T. L."
Clathria,hartmani,"(Simpson, 1966)",
Ectyonopsis,hartmani,"(Bakus, 1966)",
Stelotrochota,hartmani,"Bakus, 1966","Bakus, G. J."
Pachastrissa,hartmeyeri,Uliczka,"Uliczka, E."
Penares,hartmeyeri,"(Uliczka, 1929)",
Hymeniacidon,hauraki,Brondsted,Brondsted
Hymeniacidon,haurakii,"Bröndsted, 1924","Bröndsted, H. V."
Stylissa,haurakii,"(Bröndsted, 1924)",
Leucandra,heathi,"Urban, 1905",
Leuconia,heathi,"(Urban, 1905)",
Phorbas,hechteli,"Hajdu & Teixeira, 2011","Hajdu, E."
Phorbas,hechteli,"Hajdu & Teixeira, 2011","Teixeira, J."
Hymeniacidon,heliophila,"(Parker, 1910)",
Mycale,helios,"(Fristedt, 1887)",
Oligoceras,hemorrhages,"de Laubenfels, 1936","de Laubenfels, M. W."
Dysidea,herbacea,"(Keller, 1889)",
Lamellodysidea,herbacea,"(Keller, 1889)",
Cribrospongia,heteromorpha,,
Protospongia,hicksi,"Hinde, 1888","Hinde, G. J."
Diagoniella,hinderi,Walcott,"Walcott, C. D."
Acanthodictya,hispida,,
Mycale,hispida,"(Lambe, 1893)",
Scopalina,hispida,"(Hechtel, 1965)",
Trachyteleia,hispida,"(Bowerbank, 1864)",
Ulosa,hispida,"Hechtel, 1965","Hechtel, G. J."
Suberitechinus,hispidus,"(Bowerbank, 1864)",
Haliclona,hogarthi,"Hechtel, 1965","Hechtel, G. J."
Phloeodictyon,hondurasense,"Carter, 1882","Carter, H. J."
Oceanapia,hondurasensis,"(Carter, 1882)",
Phloeodictyon,hondurasensis,Carter,
Rhizopsis,horrida,,
Brachiospongia,hoveyii,Marsh,
Pleraplysilla,hyalina,"de Laubenfels, 1950","de Laubenfels, M. W."
Pseudosuberites,hyalinus,"(Ridley & Dendy, 1886)",
Hamacantha,hyaloderma,"(de Laubenfels, 1932)",
Zygherpe,hyaloderma,"de Laubenfels, 1932","de Laubenfels, M. W."
Hemectyon,hyle,"de Laubenfels, 1930","de Laubenfels, M. W."
Raspailia,hyle,"(de Laubenfels, 1930)",
Hemectyon,hymani,"Dickinson, 1945",
Raspailia,hymani,"(Dickinson, 1945)",
Thecophora,ibla,"Thomson, 1873",
Leiosella,idia,"(de Laubenfels, 1932)",
Spongia,idia,"de Laubenfels, 1932","de Laubenfels, M. W."
Tedania,ignis,"(Duchassaing & Michelotti, 1864)",
Thalysias,ignis,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Thalysias,ignis,"Duchassaing & Michelotti, 1864","Michelotti, G."
Polytherses,ignobilis,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Polytherses,ignobilis,"Duchassaing & Michelotti, 1864","Michelotti, G."
Plocamia,igzo,"de Laubenfels, 1930","de Laubenfels, M. W."
Plocamiancora,igzo,"(de Laubenfels, 1930)",
Antho,illgi,"(Bakus, 1966)",
Plocamilla,illgi,"Bakus, 1966","Bakus, G. J."
Astylospongia,imbriacta,,
Astylospongia,imbricata,,
Astylospongia,imbricata,,
Euplectella,imperialis,"Ijima, 1894",
Ectenodictya,implexa,Hall,
Adocia,implexiformis,"Hechtel, 1965","Hechtel, G. J."
Haliclona,implexiformis,"(Hechtel, 1965)",
Astylospongia,incarnata,,
Halichondria,incerta,"Bowerbank, 1866","Bowerbank, J. S."
Tuba,incerta,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Tuba,incerta,"Duchassaing & Michelotti, 1864","Michelotti, G."
Astylospongia,inciso,,
Astylospongia,inciso,,
Caryomanon,incisolobatum,,
Halichondria,inconspicua,"Bowerbank, 1866","Bowerbank, J. S."
Siphonia,incrassata,,
Anchinoe,incrustans,"(Carter, 1885)",
Crella,incrustans,"(Carter, 1885)",
Halichondria,incrustans,"Johnston, 1842",
Myxilla,incrustans,"(Johnston, 1842)",
Haliclona,indistincta,(Bowerbank),
Polymastia,infrapilosa,"Topsent, 1927",
Coscinopora,infundibiliformis,,
Axinella,infundibuliformis,"(Linnaeus, 1759)",
Coscinopora,infundibuliformis,Goldfuss,"Goldfuss, G. A."
Desmacella,infundibuliformis,"(Vosmaer, 1885)",
Halichondria,infundibuliformis,"(Linnaeus, 1759)",
Isodictya,infundibuliformis,"(Linnaeus, 1759)",
Receptaculites,infundibuliformis,Eaton,"Eaton, G. F."
Cribrochalina,infundibulum,"Schmidt, 1870","Schmidt, E. O."
Halichondria,infundibulum,,
Acarnus,innominatus,"Gray, 1867","Gray, J. E."
Astylospongia,inornata,Hall,
Desmacella,inornata,"(Bowerbank, 1866)",
Hindia,inornata,"(Hall, 1863)",
Dystactospongia,insolens,,
Aplysina,insularis,"(Duchassaing & Michelotti, 1864)",
Echinoclathria,intermedia,"Whitelegge, 1902","Whitelegge, T."
Placospongia,intermedia,"Sollas, 1888","Sollas, W. J."
Scyphia,intermedia,,
Cyclocrinites,intermedius,,
Nidulites,intermedius,,
Pasceolus,intermedius,,
Hyattella,intestinalis,"(Lamarck, 1814)",
Receptaculites,iowaensis,,
Ischadites,iowensis,(Owen),
Ozarkocoelia,irregularis,Cullison,"Cullison, J. S."
Spongia,irregularis,"(von Lendenfeld, 1889)",
Spongia,irregularis,,
Thorectopsamma,irregularis,"Burton, 1934","Burton, M."
Tuba,irregularis,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Tuba,irregularis,"Duchassaing & Michelotti, 1864","Michelotti, G."
Halichondria,isodictyalis,"Carter, 1882","Carter, H. J."
Lissodendoryx,isodictyalis,"(Carter, 1882)",
Hymeniacidon,J2,,
Hymeniacidon,J3,,
Alectona,jamaicensis,"Pang, 1973","Pang, R. K."
Desmacella,jania,"Verrill, 1907","Verrill, A. E."
Cliona,janitrix,Topsent,"Topsent, E."
Reniera,japonica,Kadota,Kadota
Oceanapia,jeffreysii,(Bowerbank),
Hamacantha (Vomerula),johannis,Schmidt,"Schmidt, E. O."
Coelosphaerella,johnsoni,"de Laubenfels, 1934","de Laubenfels, M. W."
Cornulum,johnsoni,"(de Laubenfels, 1934)",
Hamacantha,johnsoni,"(Bowerbank, 1864)",
Hymedesmia,johnsoni,"Bowerbank, 1864","Bowerbank, J. S."
Pachymatisma,johnstonia,"(Bowerbank in Johnston, 1842)",
Euplectella,jovis,Schmidt,"Schmidt, E. O."
Igernella,joyeuxi,"(Topsent, 1889)",
Carpospongia,juglans,,
Caryospongia,juglans,(von Quenstedt),
Clathria,jugosa,"Wilson, 1902","Wilson, H. V."
Clathria,juniperina,"(Lamarck, 1814)",
Microciona,juniperina,(Lamarck),
Pandaros,juniperina,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Pandaros,juniperina,"Duchassaing & Michelotti, 1864","Michelotti, G."
Thalysias,juniperina,"(Lamarck, 1814)",
Stauractinella,jurassica,,
Myriastra,kallitetilla,"de Laubenfels, 1936","de Laubenfels, M. W."
Stelletta,kallitetilla,"(de Laubenfels, 1936)",
Strongylacidon,kaneohe,"(de Laubenfels, 1950)",
Xytopsiphum,kaneohe,"de Laubenfels, 1950","de Laubenfels, M. W."
Maeandrostia,kansasensis,,
Antho,karykina,"(de Laubenfels, 1927)",
Plocamia,karykina,"de Laubenfels, 1927","de Laubenfels, M. W."
Spirastrella,keaukaha,"de Laubenfels, 1951","de Laubenfels, M. W."
Psammaplysilla,kelleri,"Wilson, 1925","Wilson, H. V."
Asconema,kentii,"Schmidt, 1880","Schmidt, E. O."
Hyalonema,kentii,"(Schmidt, 1880)",
Asteropus,ketostea,"(de Laubenfels, 1950)",
Stellettinopsis,ketostea,"de Laubenfels, 1950","de Laubenfels, M. W."
Phoriospongia,kirki,(Bowerbank),
Spongia,kirkii,(Hyatt),
Melonanchora,kobjakovae,"Koltun, 1958","Koltun, V. M."
Ischadites,koenigi,,
Ischadites,koenigi,Murchison,"Murchison, R. I."
Siphonia,koenigi,(Mantell),
Haliclona,koremella,"de Laubenfels, 1954","de Laubenfels, M. W."
Cinachyra,kuekenthali,"Uliczka, 1929","Uliczka, E."
Cinachyrella,kuekenthali,"(Uliczka, 1929)",
Callyspongia,laboreli,"Hechtel, 1983","Hechtel, G. J."
Geodia,labyrinthica,"(Kirkpatrick, 1903)",
Placospongia,labyrinthica,"Kirkpatrick, 1903","Kirkpatrick, R."
Reniera,labyrinthica,"Schmidt, 1864","Schmidt, E. O."
Scyphia,labyrinthica,,
Hippospongia,lachne,"(de Laubenfels, 1936)",
Spongia,lacinulosa,"Lamarck, 1814","Lamarck, J. P."
Aplysina,lacunosa,"(Lamarck, 1814)",
Verongia,lacunosa,(Lamarck),
Spongilla,lacustris,"(Linnaeus, 1759)",
Esperia,laevis,"Carter, 1882","Carter, H. J."
Mycale,laevis,"(Carter, 1882)",
Cacospongia,lamellosa,"(Esper, 1794)",
