ClaGenus,ClaSpecies,AutAuthorString,SummaryData
Phyllospongia,lamellosa,"(Esper, 1794)",
Tetilla,laminaris,"George & Wilson, 1919",
Cliona,lampa,"de Laubenfels, 1950","de Laubenfels, M. W."
Pione,lampa,"(de Laubenfels, 1950)",
Desmacella,lampra,"de Laubenfels, 1954","de Laubenfels, M. W."
Cliona,langae,"Pang, 1973","Pang, R. K."
Cercidochela,lankesteri,"Kirkpatrick, 1907","Kirkpatrick, R."
Isodictya,lankesteri,"(Kirkpatrick, 1907)",
Coscinoderma,lanuga,"de Laubenfels, 1936","de Laubenfels, M. W."
Spongia,lapidescens,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,lapidescens,"Duchassaing & Michelotti, 1864","Michelotti, G."
Spongia,lapidescens,"Hyatt, 1877","Hyatt, A."
Spongia,lapidescens,"Hyatt, 1877","Hyatt, A."
Spongia,lapidescens,,
Spongia,lapidescens,,
Cliona,laticavicola,"Pang, 1973","Pang, R. K."
Cliona,laticavicola,"Pang, 1973","Pang, R. K."
Cliona,laticavicola,"Pang, 1973","Pang, R. K."
Acamas,laxissima,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Acamas,laxissima,"Duchassaing & Michelotti, 1864","Michelotti, G."
Mycale,laxissima,"(Duchassaing & Michelotti, 1864)",
Phyllospongia,lekanis,"de Laubenfels, 1954","de Laubenfels, M. W."
Pleurostoma,lesnearii,,
Walteria,leuckarti,"Ijima, 1896",
Walteria,leuckharti,,
Stelospongia,levis,"Hyatt, 1877","Hyatt, A."
Stelospongos,levis,"Hyatt, 1877","Hyatt, A."
Spongia,lignea,Hyatt,
Spongia,lignea,"Hyatt, 1877","Hyatt, A."
Spongia,lignea,"Hyatt, 1877","Hyatt, A."
Dysidea,ligneana,"(Hyatt, 1877)",
Spongelia,ligneana,"Hyatt, 1877","Hyatt, A."
Spongia,ligneana,"(Hyatt, 1877)",
Takakkawia,lineata,Walcott,"Walcott, C. D."
Tuba,lineata,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Tuba,lineata,"Duchassaing & Michelotti, 1864","Michelotti, G."
Hymeniacidon,lingua,"Bowerbank, 1866","Bowerbank, J. S."
Mycale,lingua,"(Bowerbank, 1866)",
Raphiodesma,lingua,"Bowerbank, 1866","Bowerbank, J. S."
Scypha,lingua,"Haeckel, 1872",
Sycon,lingua,"(Haeckel, 1870)",
Polytherses,linguiformis,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Polytherses,linguiformis,"Duchassaing & Michelotti, 1864","Michelotti, G."
Paratetilla,lipotriaena,"de Laubenfels, 1954","de Laubenfels, M. W."
Mycale,lissochela,"Bergquist, 1965","Bergquist, P. R."
Antho,lithophoenix,"(de Laubenfels, 1927)",
Isociona,lithophoenix,"de Laubenfels, 1927","de Laubenfels, M. W."
Cliona,lobata,"Hancock, 1849","Hancock, A."
Euryspongia,lobata,"Bergquist, 1965","Bergquist, P. R."
Phakellia,lobata,"Wilson, 1902",
Coeloptychium,lobatum,,
Amphilectus,lobatus,"(Montagu, 1814)",
Suberites,lobatus,"(Wilson, 1902)",
Oscarella,lobularis,"(Schmidt, 1862)",
Stauroderma,lochensis,,
Tethya,logani,"Dawson, 1857","Dawson, W."
Chondrilla,longissima,Bowerbank,"Bowerbank, J. S."
Stylocordyla,longissima,"(Sars, 1872)",
Verongia,longissima,(Carter),
Haliclona,longleyi,"de Laubenfels, 1932","de Laubenfels, M. W."
Neopetrosia,longleyi,"(de Laubenfels, 1932)",
Cyatophora,longueti,,
Chalinula,loosanoffi,"(Hartman, 1958)",
Haliclona,loosanoffi,"Hartman, 1958","Hartman, W. D."
Pandaros,lugubris,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Pandaros,lugubris,"Duchassaing & Michelotti, 1864","Michelotti, G."
Axinella,lunaecharta,Ridley & Dendy,
Dragmacidon,lunaecharta,"(Ridley & Dendy, 1886)",
Haliclona,lunisimilis,"de Laubenfels, 1930","de Laubenfels, M. W."
Niphates,lunisimilis,"(de Laubenfels, 1930)",
Pachychalina,lunisimilis,"(de Laubenfels, 1930)",
Halichondria,lutea,,
Eudea,lycopordioides,,
Hymendectyon,lyoni,"Bakus, 1966","Bakus, G. J."
Plocamionida,lyoni,"(Bakus, 1966)",
Brachiospongia,lyonii,Marsh,
Uruguaya,macandrewi,"Hinde, 1888","Hinde, G. J."
Uruguayella,macandrewi,"(Hinde, 1888)",
Geodia,macandrewii,"Bowerbank, 1858",
Chrotella,macellata,Sollas,"Sollas, W. J."
Mycale,macginitiei,"de Laubenfels, 1930","de Laubenfels, M. W."
Guancha,macleayi,"(von Lendenfeld, 1885)",
Leucosolenia,macleayi,von Ledendenfeld,"von Ledendenfeld, R."
Callyspongia,macrodactyla,"(Ridley, 1884)",
Haliclona,macrodactyla,"(Ridley, 1884)",
Raphidonema,macropora,"(Sharpe, 1854)",
Quepanetsal,madidus,"de Laubenfels, 1954","de Laubenfels, M. W."
Xestospongia,madidus,"(de Laubenfels, 1954)",
Spinosella,magistoma,Verrill,"Verrill, A. E."
Halichondria,magniconulosa,"Hechtel, 1965","Hechtel, G. J."
Calathospongia,magnifica,,
Polymastia,mamillaris,"(Müller, 1806)",
Seliscothon,mantelli,,
Spongia,manus,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,manus,"Duchassaing & Michelotti, 1864","Michelotti, G."
Porospongia,marginata,"(Goldfuss, 1826)",
Scyphia,marginata,,
Ptilocaulis,marquezii,"(Duchassaing & Michelotti, 1864)",
Spongia,marquezii,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,marquezii,"Duchassaing & Michelotti, 1864","Michelotti, G."
Acloeodictya,marsipus,,
Fibularia,massa,"Carter, 1882","Carter, H. J."
Fibulia,massa,"Carter, 1882","Carter, H. J."
Neofibularia,massa,"(Carter, 1882)",
Petrobiona,massiliana,Vacelet & Levi,
Penares,mastoidea,"(Schmidt, 1880)",
Stelletta,mastoidea,"Schmidt, 1880","Schmidt, E. O."
Acanthella,mastophora,"(Schmidt, 1870)",
Axinella,mastophora,"Schmidt, 1870","Schmidt, E. O."
Clathria,maunaloa,"(de Laubenfels, 1951)",
Microciona,maunaloa,"de Laubenfels, 1951","de Laubenfels, M. W."
Agelas,mauritiana,"(Carter, 1883)",
Spinosella,maxima,"Dendy, 1887","Dendy, A."
Polyfibrospongia,maynardi,"(Hyatt, 1877)",
Smenospongia,maynardii,"(Hyatt, 1877)",
Tethya,maza,"Selenka, 1879","Selenka, E."
Sarcomella,medusa,,
Biemna,megalosigma,"Hentschel, 1912","Hentschel, E."
Diplastrella,megastellata,"Hechtel, 1965","Hechtel, G. J."
Tremabolites,megastoma,Roemer,
Geodia,megastrella,"Carter, 1876",
Thorectopsamma,mela,"de Laubenfels, 1954","de Laubenfels, M. W."
Halichondria,melanadocia,"de Laubenfels, 1936","de Laubenfels, M. W."
Pseudosuberites,melanos,"de Laubenfels, 1934",
Placospongia,melobesioides,"Gray, 1867","Gray, J. E."
Astraeospongia,menisca,,
Astraeospongia,meniscus,Rohmer,
Astraeospongium,meniscus,(Romer),
Axinyssa,mertoni,"(Hentschel, 1912)",
Dactylospongia,metachromia,"(de Laubenfels, 1954)",
Hippospongia,metachromia,"de Laubenfels, 1954","de Laubenfels, M. W."
Spongilla,meyeni,Carter,
Elasmostoma,michelini,,
Microciona,microchela,"Hechtel, 1965","Hechtel, G. J."
Verongia,microconulosa,Hechtel,"Hechtel, G. J."
Clathria,microjoanna,"(de Laubenfels, 1930)",
Microciona,microjoanna,"de Laubenfels, 1930","de Laubenfels, M. W."
Stromatospongia,micronesica,"Hartman & Goreau, 1976","Hartman, W. D."
Stromatospongia,micronesica,"Hartman & Goreau, 1976","Goreau, T. F."
Amphimedon,micropora,"(Verrill, 1907)",
Pachychalina,micropora,"Verrill, 1907","Verrill, A. E."
Mycale,microsigmatosa,"Arndt, 1927","Arndt, W."
Biemna,microstyla,"de Laubenfels, 1950","de Laubenfels, M. W."
Tetilla,microxea,"Bergquist, 1965","Bergquist, P. R."
Cylindrophyma,milleporata,,
Archaeoscyphia,minganensis,(Billings),
Hispidopetra,miniana,"Hartman, 1969","Hartman, W. D."
Pachychalina,miniata,Verrill,"Verrill, A. E."
Erylus,ministrongylus,"Hechtel, 1965","Hechtel, G. J."
Leucetta,mircoraphis,"Haeckel, 1872","Haeckel, E. H."
Higginsia,mixta,"Hentschel, 1912","Hentschel, E."
Timea,mixta,"Topsent, 1896","Topsent, E."
Cleodictya,mohri,,
Chalinula,molitba,"(de Laubenfels, 1949)",
Haliclona,molitba,"de Laubenfels, 1949","de Laubenfels, M. W."
Amphimedon,mollis,"Wilson, 1902","Wilson, H. V."
Pachychalina,mollis,"Wilson, 1902","Wilson, H. V."
Spirastrella,mollis,"Verrill, 1907","Verrill, A. E."
Rhabderemia,mona,"(de Laubenfels, 1934)",
Stylospira,mona,"de Laubenfels, 1934","de Laubenfels, M. W."
Plakina,monolopha,"Schulze, 1880","Schulze, F. E."
Protospongia,mononema,Dawson,"Dawson, C. E."
Siphonochalina,montagui,,
Receptaculites,monticulatus,Hall,
Liosina,monticulosa,"(Verrill, 1907)",
Ulosa,monticulosa,"(Verrill, 1907)",
Neofibularia,mordens,"Hartman, 1967","Hartman, W. D."
Scolopes,moseleyi,"Sollas, 1888","Sollas, W. J."
Siphonodictyon,mucosa,"Bergquist, 1965","Bergquist, P. R."
Darwinella,muelleri,"(Schultze, 1865)",
Ephydatia,muelleri,"(Lieberkühn, 1856)",
Darwinella,mulleri,(Schulze),
Jereica,multiformis,,
Siphonotrochus,multiporatus,,
Pirania,muricata,Walcott,"Walcott, C. D."
Thenea,muricata,"(Bowerbank, 1858)",
Hyrtios,musciformis,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Hyrtios,musciformis,"Duchassaing & Michelotti, 1864","Michelotti, G."
Hystios,musciformis,(Duchassaing & Michelotti),
Smenospongia,musicalis,"(Duchassaing & Michelotti, 1864)",
Schmidtia,muta,"Schmidt, 1870","Schmidt, E. O."
Xestospongia,muta,"(Schmidt, 1870)",
Tetilla,mutabilis,"de Laubenfels, 1930","de Laubenfels, M. W."
Carteriospongia,mystica,Hyatt,
Hiattrochota,mystile,"de Laubenfels, 1954","de Laubenfels, M. W."
Ophiraphidites,n. sp.,,
Axinella,nanaspiculata,"Hartman, 1955","Hartman, W. D."
Adocia,neens,Topsent,"Topsent, E."
Chalinula,nematifera,"(de Laubenfels, 1954)",
Nara,nematifera,"de Laubenfels, 1954","de Laubenfels, M. W."
Poterion,neptuni,"Schlegel, 1858","Schlegel, H."
Receptaculites,neptuni,,
Virgola,neptunia,,
Ceratoporella,nicholsoni,"(Hickson, 1911)",
Dendrilla,nigra,"(Dendy, 1889)",
Spongionella,nigra,"Dendy, 1889","Dendy, A."
Tedania,nigrescens,"(Schmidt, 1862)",
Iophon,nigricans,"(Bowerbank, 1858)",
Spongia,nitens,(Schmidt),
Oceanapia,nodosa,"(George & Wilson, 1919)",
Cystothalamia,nodulifera,"Girty, 1908","Girty, G. H."
Oceanapia,nodulosa,"(Hechtel, 1983)",
Rhizochalina,nodulosa,"Hechtel, 1983","Hechtel, G. J."
Spongites,nodulosus,,
Neofibularia,nolitangera,(Duchassaing & Michelotti),
Amphimedon,nolitangere,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Amphimedon,nolitangere,"Duchassaing & Michelotti, 1864","Michelotti, G."
Fibularia,nolitangere,"(Duchassaing & Michelotti, 1864)",
Fibulia,nolitangere,,
Neofibularia,nolitangere,"(Duchassaing & Michelotti, 1864)",
Neofibularia,nolitangere,"Hartman, 1967","Hartman, W. D."
Neofibularia,nolitangere,"Hartman, 1967","Hartman, W. D."
Neofibularia,nolitangere,"Hartman, 1967","Hartman, W. D."
Stromatospongia,norae,"Hartman, 1969","Hartman, W. D."
Merlia,normani,"Kirkpatrick, 1908",Kirkpatrick
Euryades,notabilis,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Euryades,notabilis,"Duchassaing & Michelotti, 1864","Michelotti, G."
Igernella,notabilis,"(Duchassaing & Michelotti, 1864)",
Ophiraphidites,nov. gen.,,
Biemna,novaezealandiae,"Dendy, 1924","Dendy, A."
Calthropella,novaezealandiae,"(Bergquist, 1961)",
Corticellopsis,novaezealandiae,"(Bergquist, 1961)",
Lissodendoryx,noxiosa,"de Laubenfels, 1930","de Laubenfels, M. W."
Discodermia,nucerium,,
Chondrilla,nucula,"Schmidt, 1862","Schmidt, E. O."
Leucilla,nuttingii,"(Urban, 1902)",
Rhabdodermella,nuttingii,"Urban, 1902",
Dendrilla,nux,"de Laubenfels, 1950","de Laubenfels, M. W."
Dictyodendrilla,nux,"(de Laubenfels, 1950)",
Sympagella,nux,"Schmidt, 1870","Schmidt, E. O."
Clathria,obliqua,"(George & Wilson, 1919)",
Spongia,obliqua,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Spongia,obliqua,"Duchassaing & Michelotti, 1864","Michelotti, G."
Tenaciella,obliqua,"(George & Wilson, 1919)",
Hazelia,obscura,Walcott,"Walcott, C. D."
Plococoelia,obscura,,
Tedanione,obscurata,de Laubenfels,"de Laubenfels, M. W."
Chalina,obtusispiculifera,"Dendy, 1905","Dendy, A."
Niphates,obtusispiculifera,"(Dendy, 1905)",
Receptaculites,occidentalis,,
Haliclona,occulata,,
Strephochetus,ocellatus,"Seely, 1885","Seely, H. M."
Chalina,oculata,"(Linnaeus, 1759)",
Haliclona,oculata,"(Linnaeus, 1759)",
Haliclona,oculata,"(Linnaeus, 1759)",
Haliclona,oculata,"(Verrill, 1873)",
Euspongia,officinalis,,
Spongia,officinalis,"Linnaeus, 1759","Linnaeus, C."
Spongia,officinalis,"Hyatt, 1877","Hyatt, A."
Ischadites,ohioensis,Hall & Whitfield,
Receptaculites,ohioensis,,
Cribrochalina,olemda,"de Laubenfels, 1954","de Laubenfels, M. W."
Niphates,olemda,"(de Laubenfels, 1954)",
Oceanapia,oleracea,"(Schmidt, 1870)",
Rhizochalina,oleracea,"Schmidt, 1870","Schmidt, E. O."
Jereica,oligostoma,,
Topsentia,ophiraphidites,"(de Laubenfels, 1934)",
Viles,ophiraphidites,"de Laubenfels, 1934",
Receptaculites,orbis,,
Axocielita,originalis,"(de Laubenfels, 1930)",
Clathria,originalis,"(de Laubenfels, 1930)",
Esperiopsis,originalis,"de Laubenfels, 1930","de Laubenfels, M. W."
Stolleya,ornatissima,,
Agelas,oroides,"(Schmidt, 1864)",
Ircinia,oros,(Schmidt),
Stereodictyum,orthoplectum,Finks,"Finks, R. M."
Carteriospongia,otahitica,Esper,"Esper, E. J."
Spheciospongia,othella,"de Laubenfels, 1950","de Laubenfels, M. W."
Mycale,ovulum,"(Schmidt, 1870)",
Receptaculites,oweni,Hall,
Didiscus,oxeata,"Hechtel, 1983","Hechtel, G. J."
Polymastia,pachymastia,"de Laubenfels, 1932","de Laubenfels, M. W."
Hippospongia,pacifica,"(Hyatt, 1877)",
Taonura,pala,"(Lamarck, 1814)",
Callyspongia,pallida,"Hechtel, 1965","Hechtel, G. J."
Dactylia,palmata,"Carter, 1885","Carter, H. J."
Hazelia,palmata,Walcott,"Walcott, C. D."
Isodictya,palmata,"(Ellis & Solander, 1786)",
Spongelia,palmata,"Hyatt, 1877","Hyatt, A."
Spongia,palmata,Hyatt,
Neopetrosia,pandora,"de Laubenfels, 1954","de Laubenfels, M. W."
Halichondria,panicea,(Pallas),
Halichondria,panicea,"(Pallas, 1766)",
Iphiteon,panicea,Bowerbank,"Bowerbank, J. S."
Ophlitaspongia,papilla,"Bowerbank, 1866","Bowerbank, J. S."
Geodia,papyracea,"Hechtel, 1965","Hechtel, G. J."
Siphonochalina,papyracea,"Schmidt, 1870","Schmidt, E. O."
Siphonochalina,papyracea,"(Lamarck, 1814)",
Siphonochalina,papyracea,Duchassaing & Michelotti,
Myxilla,parasitica,"Lambe, 1893","Lambe, L. M."
Mycale,parishi,"(Bowerbank, 1875)",
Esperella,parishii,"(Bowerbank, 1875)",
Mycale,parishii,"(Bowerbank, 1875)",
Mycale,parishii,"(Bowerbank, 1875)",
Rhaphiodesma,parishii,"Bowerbank, 1875","Bowerbank, J. S."
Zygomycale,parishii,"(Bowerbank, 1875)",
Chenendopora,parkinsoni,,
Clathria,parthena,"(de Laubenfels, 1930)",
Microciona,parthena,"de Laubenfels, 1930","de Laubenfels, M. W."
Microtylostylifer,partida,"Dickinson, 1945","Dickinson, M. G."
Hindia,parva,,
Hyalotragos,patella,,
Cliona,patera,"(Hardwicke, 1820)",
Lecanella,pateraeformis,,
Biemna,peachii,"(Bowerbank, 1866)",
Desmacella,peachii,"(Bowerbank, 1866)",
Desmacidon,peachii,"Bowerbank, 1866","Bowerbank, J. S."
Isodictya,peachii,"Bowerbank, 1866","Bowerbank, J. S."
Endectyon,pearsi,"(Wells, Wells & Gray, 1960)",
Hemectyon,pearsi,"Wells, Wells & Gray, 1960",
Receptaculites,pedunculatus,Twenhofel,"Twenhofel, W. H."
Haliclona,pellasarca,"de Laubenfels, 1934",
Petrosia,pellasarca,"(de Laubenfels, 1934)",
Foliolina,peltata,"Schmidt, 1870","Schmidt, E. O."
Oceanapia,peltata,"(Schmidt, 1870)",
Clathria,pennata,"(Lambe, 1895)",
Ophlitaspongia,pennata,"(Lambe, 1895)",
Ophlitaspongia,pennata,"de Laubenfels, 1932","de Laubenfels, M. W."
Pandaros,pennata,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Pandaros,pennata,"Duchassaing & Michelotti, 1864","Michelotti, G."
Echinodictyum,pennatum,"(Duchassaing & Michelotti, 1864)",
Trochospongilla,pennsylvanica,"(Potts, 1882)",
Cliona,peponaca,"Pang, 1973","Pang, R. K."
Lysactinella,pereglans,Girty,"Girty, G. H."
Suberites,perfectus,"Ridley & Dendy, 1886","Ridley, S. O."
Suberites,perfectus,"Ridley & Dendy, 1886","Dendy, A."
Eudea,perforata,,
Aplysina,pergamentacea,"Hechtel, 1983","Hechtel, G. J."
Callyspongia,pergamentacea,"(Ridley, 1881)",
Manon,periza,,
Hymeniacidon,perlevis,"(Montagu, 1818)",
Haliclona,permollis,"(Bowerbank, 1866)",
Sphaerospongia,permotessellata,"Parona, 1933","Parona, C. F."
Aaptos,pernucleata,"(Carter, 1870)",
Myxilla,perspinosa,"Lundbeck, 1905","Lundbeck, W."
Plocoscyphia,pertusa,,
Scyphia,pertusa,,
Spongia,pertusa,"Hyatt, 1877","Hyatt, A."
Manon,perziza,,
Regadrella,petri-jacobi,,
Murrayona,phanolepis,"Kirkpatrick, 1910",Kirkpatrick
Euryspongia,phlogera,"de Laubenfels, 1954","de Laubenfels, M. W."
Regadrella,phoenix,,
Hydnoceras,phymatodes,Hall & Clarke,
Fasciospongia,pikei,"(Hyatt, 1877)",
Stelospongos,pikei,"Hyatt, 1877","Hyatt, A."
Chalinopsilla,pilosa,"Wilson, 1902","Wilson, H. V."
Spongia,pilosa,"(Wilson, 1902)",
Spongia,pilosa,"(Wilson, 1902)",
Folitispa,pingens,"de Laubenfels, 1954","de Laubenfels, M. W."
Tragos,pisiformis,,
Pseudaxinyssa,pitys,"de Laubenfels, 1954","de Laubenfels, M. W."
Spongia,plana,"Hyatt, 1877","Hyatt, A."
Spongites,plana,,
Seliscothon,planum,,
Hexadella,pleochromata,"de Laubenfels, 1950","de Laubenfels, M. W."
Cnemidiastrum,pleuristellatum,,
Cnemidiastrum,pleurostellatum,Zittel,
Gelliodes,plexa,"Lundbeck, 1902","Lundbeck, W."
Callyspongia,plicifera,"(Lamarck, 1814)",
Patuloscula,plicifera,"(Lamarck, 1814)",
Spinosella,plicifera,"(Lamarck, 1814)",
Tuba,plicifera,"(Lamarck, 1814)",
Spongilla,plumosa,Carter,
Calyx,podatypa,"(de Laubenfels, 1934)",
Axinella,polycapella,"de Laubenfels, 1953","de Laubenfels, M. W."
Abyssocladia,polycephalus,"Hestetun, Pomponi, & Rapp, 2016",
Prismodictya,polyhedra,,
Ciocalypta,polymastia,"(von Lendenfeld, 1888)",
Rhizospongia,polymorpha,,
Procorallistes,polymorphus,,
Protospongia,polynema,,
Tremadictyon,polyomata,,
Axinella,polypoides,"Schmidt, 1862","Schmidt, E. O."
Aplysilla,polyraphis,"de Laubenfels, 1930","de Laubenfels, M. W."
Jereica,polystoma,,
Hamacantha,popana,"(de Laubenfels, 1935)",
Hypsispongia,popana,"de Laubenfels, 1935","de Laubenfels, M. W."
Pharetrospongia,porcana,,
Spongosorites,porites,"de Laubenfels, 1949","de Laubenfels, M. W."
Astylospongia,praemorsa,Roemer,
Astylospongia,praemorsa,Hall,
Astylospongia,praemorsa,,
Astylospongia,praemorsa,,
Pachastrella,primaeva,,
Callyspongia,procumbens,"(Carter, 1882)",
Craticularia,procumbens,Goldfuss,"Goldfuss, G. A."
Patuloscula,procumbens,"Carter, 1882",
Siphonochalina,procumbens,"(Carter, 1882)",
Clathria,prolifera,"(Ellis & Solander, 1786)",
Clathria,prolifera,"(Ellis & Solander, 1786)",
Microciona,prolifera,"(Ellis & Solander, 1786)",
Amblysiphonella,prosseri,Clarke,"Clarke, J. M."
Hyrtios,proteus,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Hyrtios,proteus,"Duchassaing & Michelotti, 1864","Michelotti, G."
Neopetrosia,proxima,"(Duchassaing & Michelotti, 1864)",
Thalysias,proxima,"Duchassaing & Michelotti, 1864","Duchassaing, É. P."
Thalysias,proxima,"Duchassaing & Michelotti, 1864","Michelotti, G."
Clathria,pseudonapya,"(de Laubenfels, 1930)",
Clathriopsamma,pseudonapya,"de Laubenfels, 1930","de Laubenfels, M. W."
Mycale,psila,"(de Laubenfels, 1930)",
Paresperella,psila,"de Laubenfels, 1930","de Laubenfels, M. W."
Aciculites,pulchra,"Dendy, 1924","Dendy, A."
Monanchora,pulchra,"(Lambe, 1895)",
Dactylocalyx,pumiceus,"Stutchbury, 1841","Stutchbury, S."
Halichondria,punctata,Bergquist,"Bergquist, P. R."
Jerea,punctata,,
Jereica,punctata,Goldfuss,"Goldfuss, G. A."
Siphonia,punctata,,
Druinella,pupurea,"(Carter, 1880)",
Atergia,purpurea,"de Laubenfels, 1954","de Laubenfels, M. W."
Hircinia,purpurea,"Hyatt, 1877","Hyatt, A."
Psammaplysilla,purpurea,"(Carter, 1880)",
Pseudoceratina,purpurea,"(Carter, 1880)",
Spheciospongia,purpurea,"(Lamarck, 1815)",
Pseudosuberites,purpureus,"(de Laubenfels, 1954)",
Astylospongia,pursa,,
Spongia,pursa,,
Raphidonema,pustulata,,
Rhizaxinella,pyrifera,(Delle Chiaje),
Jerea,pyriformis,,
Siphonia,pyriformis,,
Okadaia,quarta,de Laubenfels,"de Laubenfels, M. W."
Esperiopsis,quatsinoensis,"Lambe, 1893","Lambe, L. M."
Isodictya,quatsinoensis,"(Lambe, 1893)",
Corynella,quenstedti,,
Polyblastidium,racemosum,(Schmidt),
Carteriospongia,radiata,"Hyatt, 1877","Hyatt, A."
Phyllospongia,radiata,"(Hyatt, 1877)",
Retispongia,radiata,,
Siphonia,radiata,,
Ventriculites,radiatus,"Mantell, 1822","Mantell, G. A."
Hippalimus,radiciformis,,
Scytalia,radiciformis,,
Callyspongia,ramosa,"(Gray, 1843)",
Doryderma,ramosa,Mantell,
Druinella,ramosa,"Thiele, 1899","Thiele, J."
Fibularia,ramosa,"Carter, 1882","Carter, H. J."
Gelliodes,ramosa,"(Carter, 1882)",
Heliospongia,ramosa,,
Hircinia,ramosa,"de Laubenfels, 1934","de Laubenfels, M. W."
Ircinia,ramosa,"(Keller, 1889)",
Jereina,ramosa,Finks,"Finks, R. M."
Stachyspongia,ramosa,,
Anchinoe,ramosus,"Hechtel, 1983","Hechtel, G. J."
Phorbas,ramosus,"(Hechtel, 1983)",
Spongites,ramosus,,
Strongylophora,rampa,"de Laubenfels, 1934",
Xestospongia,rampa,"(de Laubenfels, 1934)",
Acanthochaetetes,ramulosus,"(Michelin, 1846)",
Sycon,raphanus,"Schmidt, 1862","Schmidt, E. O."
Coelosphaera,raphidifera,"(Topsent, 1889)",
Coelosphaera,raphidifera,"Hechtel, 1969","Hechtel, G. J."
Clathria,rarispinosa,"(Hechtel, 1965)",
Microciona,rarispinosa,"Hechtel, 1965","Hechtel, G. J."
Hymedesanisochela,rayae,"Bakus, 1966","Bakus, G. J."
Iophon,rayae,"(Bakus, 1966)",
Anacanthaea,rea,"de Laubenfels, 1934","de Laubenfels, M. W."
Myrmekioderma,rea,"(de Laubenfels, 1934)",
Spongelia,rectilinea,,
Spongelia,rectilinea,"Hyatt, 1877","Hyatt, A."
Spinosella,regularis,Verrill,"Verrill, A. E."
Heteromeyenia,repens,"(Potts, 1880)",
Parites,repens,,
Thalysias,repens,"Carter, 1882","Carter, H. J."
Axinella,reticulata,Ridley and Dendy,
Cyathodictya,reticulata,Walcott,"Walcott, C. D."
Dragmacidon,reticulatum,"(Ridley & Dendy, 1886)",
Tremadictyon,reticulatum,,
Cyathophycus,reticulatus,Walcott,"Walcott, C. D."
Tremadictyon,retinaculum,,
Biemna,rhabderemioides,"Bergquist, 1961","Bergquist, P. R."
Dactylella,rhaphoxea,"de Laubenfels, 1934","de Laubenfels, M. W."
Lipastrotethya,rhaphoxea,"(de Laubenfels, 1934)",
Aplysinella,rhax,"(de Laubenfels, 1954)",
Dysidea,rhax,"de Laubenfels, 1954","de Laubenfels, M. W."
Ischadites,rhomboidalis,Twenhofel,"Twenhofel, W. H."
Ischadites,rhomboideus,Twenhofel,"Twenhofel, W. H."
Dendoricella,rhopalum,"Lundbeck, 1905","Lundbeck, W."
Mycale,richardsoni,"Bakus, 1966","Bakus, G. J."
Callyspongia,ridleyi,"Burton, 1934","Burton, M."
Hyalotragos,rimuloseum,,
Cnemidiastrum,rimulosum,,
Cliona,robusta,"Old, 1941",
Ephydatia,robusta,"(Potts, 1888)",
Meyenia,robusta,"Potts, 1888","Potts, E."
Oceanapia,robusta,(Bowerbank),
Phakellia,robusta,"Bowerbank, 1866","Bowerbank, J. S."
